cl,rt,wm,eq
344.68115,401.9977,17.490715,31.894787
394.7361,470.93454,16.258877,43.998623
353.4888,407.8675,18.847446,37.051533
375.87863,646.7887,16.533049,43.47999
381.4944,254.32516,14.100848,42.10429
380.30167,262.52087,3.2828116,38.83823
371.7762,634.8265,17.06419,42.519924
362.19434,522.2157,20.757284,41.586384
382.5214,258.16766,7.0196795,39.720478
382.02454,267.49512,7.1118813,39.907825
338.00473,383.49655,16.608582,32.0526
424.8129,492.14844,-1.0454541,40.234077
385.6538,699.63226,9.17613,44.504436
387.3513,269.12888,12.1237545,41.964367
378.00638,631.0064,14.990509,44.033573
388.31216,292.2982,2.410253,38.79422
382.36215,286.43604,5.433899,39.58705
335.4711,388.1987,17.300488,31.86429
390.59476,308.63303,12.793358,42.15254
358.7246,375.44467,17.992092,33.27087
345.9819,403.52332,17.914564,32.492188
362.6724,482.9476,19.7603,42.06723
386.8375,320.01108,4.7983127,39.04755
346.17706,403.33966,17.1959,31.818354
393.45532,316.01398,1.5556991,38.743
387.3937,299.48032,2.8219473,38.75089
387.11215,413.5835,5.3088818,41.69504
427.7319,482.88815,2.1715498,39.148197
338.0861,229.77924,15.763721,39.68681
386.61505,291.39664,2.569102,38.768734
377.05652,274.73624,5.8916483,39.050686
342.19867,435.72583,19.160568,39.611774
363.18195,591.958,14.235971,38.71711
383.9422,286.2889,3.8154438,39.11358
382.8592,281.09558,6.7425175,40.409874
354.16782,503.52185,15.168571,35.875557
316.24423,386.5023,16.415995,31.45425
391.2716,306.8743,2.3022203,38.636612
348.21848,391.3987,17.471418,32.053593
378.72247,551.30133,21.217192,41.62765
382.3916,317.66614,3.742684,40.251366
348.676,410.00037,17.708027,33.53601
345.71103,402.843,17.901308,32.27132
403.3593,650.7019,6.5942955,44.51572
391.98093,486.36526,12.078552,44.10021
342.5541,395.53552,17.724869,32.11592
386.5372,314.71747,4.0511565,38.549248
387.3256,350.83868,3.2667255,40.463356
376.0554,230.6912,13.015437,42.17508
383.44516,257.7184,10.752863,41.76266
409.941,420.66406,3.6940646,38.83778
398.2067,424.5143,3.3647559,41.115273
414.33502,406.05698,1.8744743,39.27038
277.8652,104.61867,13.361816,36.462677
382.62228,263.0479,6.6221213,39.75486
345.34128,399.91428,17.858322,32.371235
380.4236,653.68866,17.38937,44.271152
353.0808,471.63815,20.026026,39.96815
320.34915,453.0107,14.332769,33.8605
382.74405,241.34746,11.1159,41.735966
346.32547,456.54224,19.610054,40.701424
374.08493,571.6671,19.96742,41.50584
386.98972,296.50568,3.3514147,38.786507
377.2789,598.04913,17.397911,39.931774
394.9789,376.03024,2.192404,39.957447
391.9946,320.3201,14.468603,42.48086
365.7159,470.6367,17.29821,35.456203
343.19742,574.624,12.4813,37.335163
359.0668,380.47388,17.458208,41.679184
354.818,375.55533,17.842054,32.95518
346.22214,394.07635,16.963055,32.151474
349.41595,251.39633,15.874658,40.7183
346.46902,355.64468,16.71694,33.201138
389.1911,524.6724,7.905367,43.66395
345.1065,383.8987,17.970772,32.31335
348.28488,392.40906,18.10258,32.919117
394.6876,399.0109,3.0088627,40.713734
374.743,624.2905,11.280011,44.29184
346.7543,386.6267,17.787474,32.3374
378.5059,255.53024,4.8879337,38.930935
389.7086,463.14777,5.6118355,42.004753
392.78506,303.20728,11.427929,41.83343
350.568,376.1906,17.777807,32.129467
385.54443,294.01382,2.4357705,39.48752
337.5117,399.38315,17.715145,32.030266
389.68808,299.284,9.785133,41.371597
395.28162,327.94528,2.1895661,39.147182
366.62665,532.94025,20.433151,41.988453
371.47174,216.50691,14.606821,42.143833
358.48105,326.35,16.787977,41.259052
390.9051,334.45642,2.3221512,39.859722
387.67667,437.733,16.794575,43.030594
349.76904,171.61092,14.593409,40.783836
344.97928,377.0187,17.77838,32.5256
380.78583,259.43857,3.1934025,39.27254
333.01468,432.7119,14.842245,33.76902
348.61295,384.70676,17.735226,32.07064
393.99445,490.68564,18.039064,44.199562
360.64688,230.254,15.016002,41.289986
376.57214,583.37854,20.625061,42.73072
371.4717,578.7235,21.070892,43.08837
381.09375,312.8846,15.829418,42.135372
361.86414,623.3596,12.2098255,39.728504
311.58682,153.0485,14.817505,38.6894
385.66904,631.00525,17.883112,44.967293
387.20956,266.68793,7.8209186,40.49097
370.3461,658.8236,13.045263,43.602295
354.2042,386.62064,18.203478,33.01635
379.02655,291.59583,4.9786882,38.850807
383.50076,273.21173,8.123074,40.408493
412.732,427.28268,0.0410074,39.41273
384.2209,582.8498,19.59082,40.75115
376.90222,254.57053,14.474985,41.890694
409.4332,417.52478,3.94323,38.973904
336.37787,363.6344,18.060108,40.05663
400.36502,362.18625,2.9786434,38.879494
403.6526,366.77264,1.5911806,38.987938
322.1473,388.5847,16.2752,31.592249
382.07272,269.9609,2.893824,39.57984
384.47592,318.49918,6.8952093,41.032913
374.92065,565.1626,21.126244,42.947334
390.26477,303.5944,2.4280765,38.747734
395.45044,700.7276,7.64714,45.00628
381.11203,252.65025,5.796324,39.71975
362.17432,170.54733,13.537358,41.553593
368.2275,640.6827,14.668167,41.717194
380.0846,645.43304,16.20446,45.074318
375.63306,575.8967,20.231945,42.111332
373.36426,420.9954,18.085566,42.257523
408.31693,384.11124,0.41609168,39.00654
381.4073,252.65865,8.892477,40.793
386.52112,319.72778,4.788368,38.89346
380.81116,637.0026,12.390175,45.45301
356.47366,339.36133,17.344566,41.48145
392.40576,307.36136,1.6542441,38.748726
284.33127,113.19263,14.020458,37.426983
343.84528,455.3467,15.748754,34.499382
348.1147,376.6122,17.87263,32.210663
386.86267,626.42786,10.625774,45.02642
393.8653,429.7282,4.493224,41.65327
394.59888,657.6533,8.702089,45.39752
337.2308,387.17014,17.462528,31.96193
379.73495,255.91486,3.309403,39.22162
391.40146,308.23138,13.763847,42.54768
358.29575,500.87555,20.401272,41.52688
381.39847,682.7574,10.058579,44.59895
374.352,585.33624,19.675896,42.21848
371.24823,550.6112,20.040886,42.765102
255.91441,123.74601,13.860428,35.876846
406.81696,378.30164,0.13207018,39.187546
289.9104,256.3461,15.808294,36.731438
395.19534,467.14352,13.668442,44.0521
421.368,426.82483,-0.12068212,39.483856
374.4965,435.53763,19.68497,36.762077
381.35257,282.88837,6.100554,40.25787
358.61096,558.88837,13.617469,37.47198
327.86533,377.83936,18.118507,37.480576
379.64584,503.33865,18.927134,37.174587
386.21533,267.78333,13.837603,42.336735
280.86426,149.16266,14.042501,36.277145
302.30844,118.01342,14.259235,38.38805
306.91165,330.95285,17.177229,37.99408
410.3958,396.98782,0.18966496,39.310772
343.6924,414.9428,17.93003,31.917027
356.48163,440.8455,19.53932,37.997345
359.4514,496.8066,20.054533,41.56568
373.32974,444.38477,19.76266,35.87992
395.74072,315.2167,2.1373777,38.90072
391.2356,640.80664,9.273155,45.360893
384.8043,257.14175,6.229372,39.95591
402.3597,336.98196,0.98584294,39.05473
377.1279,604.2088,17.567734,43.378887
332.99298,348.95468,15.760597,33.238434
324.13394,151.10469,15.426409,39.980053
385.0603,284.50342,7.8595123,40.83538
342.05466,246.63724,16.003763,39.829174
347.1486,502.14447,14.36474,35.727108
384.5023,272.01526,7.0867753,40.035805
364.29803,389.256,18.288116,34.2229
369.54788,455.3332,19.933823,37.150948
385.30988,281.51062,7.7772098,40.29633
386.4473,308.00766,3.7218285,38.810677
347.6195,388.3052,18.112967,32.731106
385.39963,231.2752,12.892061,42.777554
395.80725,627.23456,8.46695,44.91609
383.627,372.3759,7.4520264,41.88037
